"Variable","ObservedStatistics","ACE_AIC","CE_AIC","AE_AIC","E_AIC","ACE_noC_pval","ACE_noA_pval","ACE_noAC_pval","ACE_model_conf_set","AE_model_conf_set","CE_model_conf_set","E_model_conf_set","ACE_A_95CI","ACE_C_95CI","ACE_E_95CI","AE_A_95CI","AE_E_95CI","CE_C_95CI","CE_E_95CI","E_E_95CI","CODE_ACE","CODE_AE","CODE_CE","CODE_E","ACE_A","ACE_C","ACE_E","AE_A","AE_E","CE_C","CE_E","E_E"
"ProcSpeed_rawZ",421,250.38355631434,249.551626401636,249.901937878097,285.598586480331,0.21786457527118,0.279798140705875,3.05185851417282e-09,"*","*","*","","0.23 (0.00, 0.58)","0.23 (0.00, 0.50)","0.54 (0.41, 0.69)","0.49 (0.35, 0.60)","0.51 (0.40, 0.65)","0.41 (0.29, 0.51)","0.59 (0.49, 0.71)","1.00 (1.00, 1.00)",0,0,0,0,0.231125156700646,0.232603956360608,0.536270886938745,0.489307170133242,0.510692829866758,0.407683836805288,0.592316163194712,1
"CJOLOZ",414,292.592526016368,303.382214963881,290.592525484007,319.691618290723,1,0.000348535066342424,1.76570406368224e-07,"*","*","","","0.49 (0.30, 0.62)","0.00 (0.00, 0.00)","0.51 (0.38, 0.66)","0.49 (0.34, 0.62)","0.51 (0.38, 0.66)","0.29 (0.16, 0.41)","0.71 (0.59, 0.84)","1.00 (1.00, 1.00)",0,0,0,0,0.494588530523882,4.6800302403087e-13,0.50541146947565,0.494593570199169,0.505406429800831,0.293090608598036,0.706909391401964,1
"FAS_60Z",356,294.04138043384,292.756004419948,292.041380310148,293.026528887113,1,0.397913021197367,0.224793241338131,"*","*","*","*","0.18 (0.00, 0.36)","0.00 (0.00, 0.00)","0.82 (0.64, 1.00)","0.18 (0.00, 0.36)","0.82 (0.64, 1.00)","0.12 (0.00, 0.26)","0.88 (0.74, 1.00)","1.00 (1.00, 1.00)",0,0,0,0,0.176444058352915,5.38260629433232e-10,0.823555941108824,0.176441265564123,0.823558734435877,0.115182100713275,0.884817899286725,1
"DSfZ",414,273.765868570584,295.782222395963,271.765867997856,352.82503767538,1,9.55209182175982e-07,9.20302481713619e-19,"*","*","","","0.71 (0.50, 0.79)","0.00 (0.00, 0.00)","0.29 (0.21, 0.39)","0.71 (0.61, 0.79)","0.29 (0.21, 0.39)","0.50 (0.39, 0.60)","0.50 (0.40, 0.61)","1.00 (1.00, 1.00)",0,0,0,0,0.710708387401263,1.14273917668841e-14,0.289291612598726,0.710706579339452,0.289293420660548,0.500753213689646,0.499246786310354,1
"SCAS_scoreZ",422,305.37928681909,303.567838385763,306.120304428232,333.942233572325,0.0978024677461444,0.664124879854805,8.49270336623465e-08,"*","*","*","","0.10 (0.00, 0.52)","0.31 (0.00, 0.48)","0.60 (0.46, 0.74)","0.45 (0.30, 0.57)","0.55 (0.43, 0.70)","0.38 (0.26, 0.49)","0.62 (0.51, 0.74)","1.00 (1.00, 1.00)",0,0,0,0,0.0960921281787175,0.306724856297864,0.597183015523418,0.447144507289784,0.552855492710216,0.37736892642958,0.62263107357042,1
"SMFQ_scoreZ",422,310.663460171453,312.173736929537,308.663460502215,329.364645888537,0.999541121149014,0.0609892665908786,1.17625140504404e-05,"*","*","*","","0.39 (0.00, 0.53)","0.00 (0.00, 0.00)","0.61 (0.47, 0.76)","0.39 (0.24, 0.53)","0.61 (0.47, 0.76)","0.29 (0.17, 0.41)","0.71 (0.59, 0.83)","1.00 (1.00, 1.00)",0,0,0,0,0.394535433410766,7.40365971934999e-09,0.605464559185574,0.394539830093827,0.605460169906173,0.294906784907598,0.705093215092402,1
"SPHERE_anxdep_scoreZ",422,310.794923924396,313.727027123982,308.794924024044,336.145486691604,0.999748130794879,0.0263622137604869,4.23259071330438e-07,"*","*","*","","0.46 (0.06, 0.59)","0.00 (0.00, 0.31)","0.54 (0.41, 0.70)","0.46 (0.31, 0.59)","0.54 (0.41, 0.69)","0.33 (0.21, 0.45)","0.67 (0.55, 0.79)","1.00 (1.00, 1.00)",0,0,0,0,0.459440422575788,2.75404165241926e-09,0.540559574670171,0.459458005741147,0.540541994258853,0.331822521355304,0.668177478644696,1
"SPHERE_fat_scoreZ",422,318.825255431801,322.399636550668,316.825255780747,343.429558300912,0.999528676400767,0.0182251049110897,6.146877420686e-07,"*","*","","","0.48 (0.09, 0.60)","0.00 (0.00, 0.28)","0.52 (0.40, 0.69)","0.48 (0.32, 0.60)","0.52 (0.40, 0.68)","0.32 (0.20, 0.44)","0.68 (0.56, 0.80)","1.00 (1.00, 1.00)",0,0,0,0,0.475182440572045,4.36008659590669e-09,0.524817555067868,0.47518255541524,0.52481744458476,0.322390777061952,0.677609222938048,1
"CRSQ_rum_scoreZ",419,336.289325818089,336.789918088252,334.28932596762,346.050423160209,0.999691464193251,0.113803492288078,0.00102758008701993,"*","*","*","","0.34 (0.00, 0.49)","0.00 (0.00, 0.00)","0.66 (0.51, 0.85)","0.34 (0.17, 0.49)","0.66 (0.51, 0.83)","0.23 (0.10, 0.35)","0.77 (0.65, 0.90)","1.00 (1.00, 1.00)",0,0,0,0,0.338722956780174,7.05600100781811e-10,0.661277042514226,0.338720571745863,0.661279428254137,0.229083654812985,0.770916345187015,1
"CASQ_comp_scoreZ",419,344.959778527635,347.789581462711,342.959778708769,355.135579911953,0.999660421777278,0.0279718276810982,0.000835148760946758,"*","*","*","","0.33 (0.05, 0.48)","0.00 (0.00, 0.00)","0.67 (0.52, 0.84)","0.33 (0.16, 0.48)","0.67 (0.52, 0.84)","0.21 (0.08, 0.33)","0.79 (0.67, 0.92)","1.00 (1.00, 1.00)",0,0,0,0,0.3283007938536,2.53713350256727e-14,0.671699206146375,0.328289010981947,0.671710989018053,0.208940630330453,0.791059369669547,1
"MSPSS_scoreZ",419,340.760149736412,338.890714967809,338.935098287854,342.962866621222,0.675750806083399,0.717846706089196,0.0449880471940404,"*","*","*","*","0.10 (0.00, 0.35)","0.09 (0.00, 0.29)","0.81 (0.65, 0.96)","0.20 (0.04, 0.35)","0.80 (0.65, 0.96)","0.17 (0.03, 0.30)","0.83 (0.70, 0.97)","1.00 (1.00, 1.00)",0,0,0,0,0.0966635061918065,0.0932902441889115,0.810046249619282,0.203866300028421,0.796133699971579,0.168883908658003,0.831116091341997,1
"DLSS_scoreZ",419,311.338108412732,317.114664233883,309.338109009769,349.266450684749,0.999383489325507,0.00529286116823298,7.85916049851231e-10,"*","*","","","0.50 (0.18, 0.61)","0.00 (0.00, 0.00)","0.50 (0.39, 0.64)","0.50 (0.36, 0.61)","0.50 (0.39, 0.64)","0.39 (0.27, 0.50)","0.61 (0.50, 0.73)","1.00 (1.00, 1.00)",0,0,0,0,0.495366945884403,9.24598598058117e-09,0.504633044869611,0.495364660926605,0.504635339073395,0.388873599680766,0.611126400319234,1
"GBSvictim_scoreZ",420,333.210042984018,334.227945674174,331.210042854529,343.36361929631,1,0.0823499019367917,0.000844481138785044,"*","*","*","","0.31 (0.00, 0.45)","0.00 (0.00, 0.29)","0.69 (0.55, 0.85)","0.31 (0.15, 0.45)","0.69 (0.55, 0.85)","0.23 (0.10, 0.35)","0.77 (0.65, 0.90)","1.00 (1.00, 1.00)",0,0,0,0,0.311831801710642,6.34015065023006e-09,0.688168191949208,0.311838250396811,0.688161749603189,0.227892289142757,0.772107710857243,1
"PDSS_scoreZ",418,342.951943517251,346.806675899818,340.951943949863,355.770243601975,0.999475205552317,0.0155352201277199,0.000222819163306019,"*","*","","","0.35 (0.09, 0.49)","0.00 (0.00, 0.19)","0.65 (0.51, 0.81)","0.35 (0.19, 0.49)","0.65 (0.51, 0.81)","0.23 (0.10, 0.36)","0.77 (0.64, 0.90)","1.00 (1.00, 1.00)",0,0,0,0,0.34982967241346,1.41956066458055e-09,0.65017032616698,0.349837297807414,0.650162702192586,0.229765108175818,0.770234891824182,1
"pPRMQ_scoreZ",422,71.516644276726,153.313415245373,76.5220537834252,360.073482295244,0.00812637828358666,5.48343009968056e-20,2.96544451620159e-64,"*","*","","","0.61 (0.43, 0.85)","0.34 (0.10, 0.52)","0.05 (0.05, 0.07)","0.94 (0.94, 0.95)","0.06 (0.04, 0.06)","0.79 (0.74, 0.84)","0.21 (0.16, 0.26)","1.00 (1.00, 1.00)",0,0,0,0,0.608285090466531,0.338309919435282,0.0534049900981875,0.94415268570813,0.0558473142918701,0.793087400323246,0.206912599676754,1
"pSCAS_scoreZ",422,279.098881044895,287.071156958178,277.674875517732,348.781544002125,0.447886656605329,0.00158914935394136,1.00003000973971e-16,"*","*","","","0.55 (0.21, 0.75)","0.12 (0.00, 0.39)","0.33 (0.25, 0.45)","0.67 (0.57, 0.76)","0.33 (0.24, 0.43)","0.51 (0.40, 0.60)","0.49 (0.40, 0.60)","1.00 (1.00, 1.00)",0,0,0,0,0.546809603816224,0.119429978564751,0.333760417619024,0.674537030808549,0.325462969191451,0.510518281318708,0.489481718681292,1
"pSMFQ_scoreZ",422,310.010681945809,309.000747313451,310.133787129419,356.031529062135,0.145092114669249,0.31972639859505,1.37439339261978e-11,"*","*","*","","0.20 (0.00, 0.59)","0.29 (0.00, 0.54)","0.50 (0.39, 0.64)","0.52 (0.39, 0.62)","0.48 (0.38, 0.61)","0.46 (0.34, 0.56)","0.54 (0.44, 0.66)","1.00 (1.00, 1.00)",0,0,0,0,0.204409660333269,0.291857751764841,0.50373258790189,0.516177562642877,0.483822437357123,0.455703791163114,0.544296208836886,1
"pSDQ_total_scoreZ",416,259.167165195661,274.897505810789,257.314294777224,351.76597005343,0.701293664657982,2.54534314584852e-05,1.05641861662546e-21,"*","*","","","0.67 (0.36, 0.80)","0.06 (0.00, 0.34)","0.27 (0.20, 0.36)","0.73 (0.64, 0.80)","0.27 (0.20, 0.36)","0.56 (0.46, 0.65)","0.44 (0.35, 0.54)","1.00 (1.00, 1.00)",0,0,0,0,0.669527953739629,0.0623482377525668,0.268123808507805,0.733908924485097,0.266091075514903,0.561778914611506,0.438221085388494,1
"pEATQ_act_scoreZ",396,186.926166413978,219.708358496913,185.347931362688,334.744512256049,0.516057680460261,3.68730838471719e-09,1.07910840339526e-33,"*","*","","","0.74 (0.47, 0.88)","0.10 (0.00, 0.37)","0.16 (0.12, 0.22)","0.84 (0.78, 0.88)","0.16 (0.12, 0.22)","0.67 (0.58, 0.74)","0.33 (0.26, 0.42)","1.00 (1.00, 1.00)",0,0,0,0,0.736603755731545,0.104526017547071,0.158870226721384,0.841123138556405,0.158876861443595,0.668315954077668,0.331684045922332,1
"kJwithDFZ",397,35.5416563547819,89.4394180395966,51.5028536328089,325.975866800078,2.25454226561521e-05,7.63394248593411e-14,1.15990804331424e-64,"*","","","","0.42 (0.28, 0.62)","0.52 (0.33, 0.67)","0.05 (0.04, 0.08)","0.94 (0.94, 0.94)","0.06 (0.06, 0.06)","0.84 (0.80, 0.88)","0.16 (0.12, 0.20)","1.00 (1.00, 1.00)",0,0,0,0,0.420527232127468,0.524696382899803,0.0547763849727286,0.941185332670481,0.0588146673295187,0.842550310014455,0.157449689985545,1
